model,total_params,trainable_params,train_time_s,val_auc,test_auc,timestamp
cfc_ncp,26597,23845,852.2,0.876,0.8647,20260504_145921
ensemble,N/A,N/A,N/A,0.876,0.8647,20260504_145921
